place_id,display_name,category,stay_time,open_time,close_time
P0001,stadium,Sports_and_Entertainment,30,00:00,23:59
P0002,Literature_and_History_Building,Teaching_Research_and_Administration,1,00:00,23:59
P0003,Hedong_Canteen,Dining_room,30,00:00,23:59
P0004,Network_Academy_Building,Teaching_Research_and_Administration,3,00:00,23:59
P0005,Publishing_House,Teaching_Research_and_Administration,3,00:00,23:59
P0006,Wenfu_Building,Teaching_Research_and_Administration,3,00:00,23:59
P0007,Liberal_Arts_Building,Teaching_Research_and_Administration,3,00:00,23:59
P0008,Auditorium,Sports_and_Entertainment,5,00:00,23:59
P0009,Alumni_Home,Sports_and_Entertainment,20,00:00,23:59
P0010,Union_Club,Sports_and_Entertainment,10,00:00,23:59
P0011,Veteran_Activity_Center,Sports_and_Entertainment,10,00:00,23:59
P0012,Expert_Building,Teaching_Research_and_Administration,3,00:00,23:59
P0013,Secondary_School_Principals_Training_Centre,Teaching_Research_and_Administration,3,00:00,23:59
P0014,Small_teaching_building,Teaching_Research_and_Administration,3,00:00,23:59
P0015,Audio-visual_teaching_building,Teaching_Research_and_Administration,3,00:00,23:59
P0016,Science_Hall,Teaching_Research_and_Administration,3,00:00,23:59
P0017,Office_Building,Teaching_Research_and_Administration,10,00:00,23:59
P0018,library,Teaching_Research_and_Administration,30,00:00,23:59
P0019,Graduate_School_Building,Teaching_Research_and_Administration,3,00:00,23:59
P0020,School_Hospital,Medical,0,00:00,23:59
P0021,Old_Library_A,Teaching_Research_and_Administration,3,00:00,23:59
P0022,Archives,Teaching_Research_and_Administration,3,00:00,23:59
P0023,Training_Building,Teaching_Research_and_Administration,3,00:00,23:59
P0024,Student_Activity_Center,Sports_and_Entertainment,5,00:00,23:59
P0025,swimming_pool,Sports_and_Entertainment,2,00:00,23:59
P0026,Hedong_Basketball_Court,Sports_and_Entertainment,2,00:00,23:59
P0027,Music_and_Physical_Education_Building,Teaching_Research_and_Administration,3,00:00,23:59
P0028,Junxiu_Building,Teaching_Research_and_Administration,3,00:00,23:59
P0029,Tin_Ka_Ping_College_of_Education,Teaching_Research_and_Administration,3,00:00,23:59
P0030,Environmental_Science_Building,Teaching_Research_and_Administration,3,00:00,23:59
P0031,Printing_plant_warehouse,Teaching_Research_and_Administration,3,00:00,23:59
P0032,International_Exchange_Service_Center,Teaching_Research_and_Administration,3,00:00,23:59
P0033,International_Education_Building,Teaching_Research_and_Administration,3,00:00,23:59
P0034,Microwave_Institute,Teaching_Research_and_Administration,3,00:00,23:59
P0035,Riva_Canteen,Dining_room,30,00:00,23:59
P0036,Riva_Bathroom,other,0,00:00,23:59
P0037,Physics_Building,Teaching_Research_and_Administration,3,00:00,23:59
P0038,Computing_Center,Teaching_Research_and_Administration,3,00:00,23:59
P0039,Mathematics_Museum,Teaching_Research_and_Administration,3,00:00,23:59
P0040,Estuary_Coast_Building,Teaching_Research_and_Administration,3,00:00,23:59
P0041,Physical_Geography_Museum,Teaching_Research_and_Administration,3,00:00,23:59
P0042,Three_Halls,Teaching_Research_and_Administration,3,00:00,23:59
P0043,Chemistry_Building,Teaching_Research_and_Administration,3,00:00,23:59
P0044,New_Classroom_4,Teaching_Research_and_Administration,3,00:00,23:59
P0045,Science_Building,Teaching_Research_and_Administration,3,00:00,23:59
P0046,Sports_Building,Teaching_Research_and_Administration,3,00:00,23:59
P0047,Hexi_Canteen,Dining_room,30,00:00,23:59
P0048,Environmental_Monitoring_Building,Teaching_Research_and_Administration,3,00:00,23:59
P0049,Hydraulic_Model_Laboratory,Teaching_Research_and_Administration,3,00:00,23:59
P0050,Pavlov_Laboratory,Teaching_Research_and_Administration,3,00:00,23:59
P0051,Construction_Department_Office_Building,Teaching_Research_and_Administration,3,00:00,23:59
P0052,Raw_gold_factory,Teaching_Research_and_Administration,3,00:00,23:59
P0053,Wildlife_Center,Teaching_Research_and_Administration,3,00:00,23:59
P0054,Primate_Center,Teaching_Research_and_Administration,3,00:00,23:59
P0055,Constant_temperature_room,Teaching_Research_and_Administration,3,00:00,23:59
P0056,Electron_Microscope_Center,Teaching_Research_and_Administration,3,00:00,23:59
P0057,Cuiyuan_Piano_Room,Teaching_Research_and_Administration,3,00:00,23:59
P0058,Logistics_Development_Center_Building,Teaching_Research_and_Administration,3,00:00,23:59
P0059,Logistics_Management_Office_Building,Teaching_Research_and_Administration,3,00:00,23:59
P0060,Hedong_Shideng_Simple_Room,Teaching_Research_and_Administration,3,00:00,23:59
P0061,Fashion_Center_(No.2_Middle_School),Teaching_Research_and_Administration,3,00:00,23:59
P0062,Design_Center_(No.2_Middle_School),Teaching_Research_and_Administration,3,00:00,23:59
P0063,Experimental_Building_(Second_Affiliated_High_School),Teaching_Research_and_Administration,3,00:00,23:59
P0064,Teaching_Building_(Second_Affiliated_High_School),Teaching_Research_and_Administration,3,00:00,23:59
P0065,Dormitory_2,dormitory,0,00:00,23:59
P0066,Dormitory_3,dormitory,0,00:00,23:59
P0067,Dormitory_4,dormitory,0,00:00,23:59
P0068,Dormitory_5,dormitory,0,00:00,23:59
P0069,Dormitory_6,dormitory,0,00:00,23:59
P0070,Dormitory_7,dormitory,0,00:00,23:59
P0071,Dormitory_8,dormitory,0,00:00,23:59
P0072,Dormitory_9,dormitory,0,00:00,23:59
P0073,Dormitory_10,dormitory,0,00:00,23:59
P0074,Dormitory_11,dormitory,0,00:00,23:59
P0075,Dormitory_12,dormitory,0,00:00,23:59
P0076,Dormitory_14,dormitory,0,00:00,23:59
P0077,Dormitory_15,dormitory,0,00:00,23:59
P0078,Dormitory_16,dormitory,0,00:00,23:59
P0079,Dormitory_17,dormitory,0,00:00,23:59
P0080,Dormitory_18,dormitory,0,00:00,23:59
P0081,Dormitory_19,dormitory,0,00:00,23:59
